time,flux,filt,sample
6.208333333334082,-0.6695767463467028,g,1
6.2500000000007425,-0.6721870497242577,g,1
6.291666666667407,-0.674797840211319,g,1
6.333333333334085,-0.6774088284423385,g,1
6.375000000000757,-0.6800204208703668,g,1
6.416666666667414,-0.6826326146346027,g,1
6.458333333334089,-0.6852451607215322,g,1
6.500000000000746,-0.6878583499307176,g,1
6.5416666666674175,-0.6904718218322365,g,1
6.583333333334092,-0.6930856857003498,g,1
6.62500000000075,-0.6957000809006075,g,1
6.666666666667425,-0.6983147720274516,g,1
6.7083333333340995,-0.7009300878693026,g,1
6.750000000000764,-0.7035449078676486,g,1
6.791666666667428,-0.7061611533147314,g,1
6.8333333333340995,-0.7087774976419468,g,1
6.875000000000767,-0.7113941646778628,g,1
6.916666666667425,-0.7140109707950053,g,1
6.958333333334096,-0.7166280290752844,g,1
7.000000000000764,-0.7192454140877764,g,1
7.041666666667432,-0.7218633935449255,g,1
7.083333333334103,-0.7244814794963403,g,1
7.125000000000771,-0.72709975828867,g,1
7.166666666667442,-0.7297184397393934,g,1
7.208333333334107,-0.7323372789754856,g,1
7.250000000000778,-0.7349566383464676,g,1
7.291666666667446,-0.7375761123498918,g,1
7.333333333334103,-0.7401955772974453,g,1
7.3750000000007745,-0.7428156886798263,g,1
7.416666666667442,-0.7454359066347678,g,1
7.458333333334114,-0.7480560410526031,g,1
7.500000000000778,-0.7506765015940573,g,1
7.5416666666674494,-0.7532973283354849,g,1
7.583333333334114,-0.7559182770927215,g,1
7.625000000000792,-0.758539392804078,g,1
7.6666666666674566,-0.7611603855606006,g,1
7.708333333334121,-0.763781874463497,g,1
7.750000000000796,-0.7664032936973406,g,1
7.7916666666674494,-0.7690250783276653,g,1
7.833333333334128,-0.7716467962145899,g,1
7.875000000000799,-0.774268616460521,g,1
7.916666666667453,-0.7768910442016441,g,1
7.958333333334121,-0.7795129271788142,g,1
8.000000000000803,-0.7821349063781788,g,1
8.04166666666747,-0.7847571949944587,g,1
8.083333333334135,-0.7873796257597121,g,1
8.125000000000803,-0.7900021207635248,g,1
8.166666666667467,-0.7926245989975875,g,1
8.208333333334132,-0.7952472475581196,g,1
8.25000000000081,-0.7978695435197309,g,1
8.291666666667467,-0.8004921739266919,g,1
8.333333333334135,-0.8031148228535443,g,1
8.37500000000081,-0.8057375703542533,g,1
8.416666666667474,-0.8083600621905269,g,1
8.458333333334142,-0.8109829184142257,g,1
8.500000000000814,-0.8136053541402966,g,1
8.541666666667485,-0.816228343791785,g,1
8.583333333334146,-0.8188508211521182,g,1
8.625000000000806,-0.8214732135878542,g,1
8.666666666667478,-0.8240958761687764,g,1
8.708333333334156,-0.8267182537442679,g,1
8.750000000000814,-0.8293407441743454,g,1
8.791666666667485,-0.8319632317463572,g,1
8.833333333334156,-0.8345853714416656,g,1
8.87500000000082,-0.8372076353045372,g,1
8.916666666667485,-0.8398297483024351,g,1
8.958333333334153,-0.8424518784618122,g,1
9.000000000000828,-0.8450739744867128,g,1
9.041666666667496,-0.8476957465395358,g,1
9.08333333333416,-0.8503173515564519,g,1
9.125000000000828,-0.8529393351400856,g,1
9.166666666667492,-0.8555610421342337,g,1
9.208333333334167,-0.8581821294257104,g,1
9.250000000000824,-0.8608036908802212,g,1
9.2916666666675,-0.8634248135911555,g,1
9.33333333333417,-0.8660456830830086,g,1
9.375000000000828,-0.8686665125075521,g,1
9.416666666667506,-0.8712875141985386,g,1
9.45833333333417,-0.8739075533167338,g,1
9.500000000000831,-0.8765280078526949,g,1
9.541666666667506,-0.8791484538858008,g,1
9.58333333333417,-0.8817683377242425,g,1
9.625000000000838,-0.8843880961666173,g,1
9.666666666667513,-0.8870074665353016,g,1
9.708333333334181,-0.8896270054044031,g,1
